,BusinessEntityID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,AdditionalContactInfo,Demographics,rowguid,ModifiedDate
99,100,EM,False,,Lolan,B,Song,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",DCD41870-A67B-4D7F-B874-92C6854E1D0D,2009-01-05
98,99,EM,False,,Nuan,,Yu,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",938FCD64-E06D-453C-9E70-BFE41753557B,2008-12-30
97,98,EM,False,,Sameer,A,Tejani,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",F19BE575-4A2E-413D-9BE9-0AF4B75C6FCD,2009-02-04
96,97,EM,False,,Mandar,H,Samant,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",907AE318-9FF7-4B56-B52B-5FDCA7BF8A62,2009-02-03
95,96,EM,False,,Elizabeth,I,Keyser,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",CB9A2A0C-68E5-475B-9D6D-EBD548FE5B9C,2009-02-23
94,95,EM,False,,Jim,H,Scardelis,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",A45F89BB-9748-41F8-9FAA-A5D76DF4B029,2008-12-12
93,94,EM,False,,Russell,,Hunter,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",288EF549-203C-439C-A6B2-32FD822327FF,2008-12-05
92,93,EM,False,,Kok-Ho,T,Loh,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",3E4AE757-8C3E-47CC-BC20-528CCF271E3D,2008-12-20
91,92,EM,False,,Tom,M,Vande Velde,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",A36DA26B-29BA-4627-9731-134D65A53143,2010-03-03
90,91,EM,False,,Kimberly,B,Zimmerman,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",67647D8C-C685-4704-81B7-AE1087CC2C6D,2010-01-05
89,90,EM,False,,Danielle,C,Tiedt,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",852A07EE-1D24-4810-8121-365DAB884C8D,2010-02-13
